Row,Gender,SPEAKER,NAMENull,NAME-acc,NAME-gen,NAME-dat,NAME-com
1,m,Ali,Samet,Samet'i,Samet'in,Samet'e,Samet'le
2,m,Murat,Hilmi,Hilmi'yi,Hilmi'nin,Hilmi'ye,Hilmi'yle
3,m,Berkay,Oktay,Oktay'ı,Oktay'ın,Oktay'a,Oktay'la
4,m,Fatih,Melih,Melih'i,Melih'in,Melih'e,Melih'le
5,m,Sinan,Yavuz,Yavuz'u,Yavuz'un,Yavuz'a,Yavuz'la
6,m,Burak,Can,Can'ı,Can'ın,Can'a,Can'la
7,m,Tolga,Emir,Emir'i,Emir'in,Emir'e,Emir'le
8,m,Salih,Alperen,Alperen'i,Alperen'in,Alperen'e,Alperen'le
9,m,Oğuzhan,Yılmaz,Yılmaz'ı,Yılmaz'ın,Yılmaz'a,Yılmaz'la
10,m,Serkan,Furkan,Furkan'ı,Furkan'ın,Furkan'a,Furkan'la
11,m,Kenan,Emre,Emre'yi,Emre'nin,Emre'ye,Emre'yle
12,m,Hüseyin,Cenk,Cenk'i,Cenk'in,Cenk'e,Cenk'le
13,m,Yusuf,Arif,Arif'i,Arif'in,Arif'e,Arif'le
14,m,Mustafa,Efe,Efe'yi,Efe'nin,Efe'ye,Efe'yle
15,m,Anıl,Mert,Mert'i,Mert'in,Mert'e,Mert'le
16,m,Arda,Halil,Halil'i,Halil'in,Halil'e,Halil'le
17,m,Taner,Berk,Berk'i,Berk'in,Berk'e,Berk'le
18,m,Batuhan,Ömer,Ömer'i,Ömer'in,Ömer'e,Ömer'le
19,m,Utku,Güngör,Güngör'ü,Güngör'ün,Güngör'e,Güngör'le
20,m,Osman,Hasan,Hasan'ı,Hasan'ın,Hasan'a,Hasan'la
21,f,Zeynep,Duygu,Duygu'yu,Duygu'nun,Duygu'ya,Duygu'yla
22,f,Merve,Gözde,Gözde'yi,Gözde'nin,Gözde'ye,Gözde'yle
23,f,Beyza,Yasemin,Yasemin'i,Yasemin'in,Yasemin'e,Yasemin'le
24,f,Müge,Esra,Esra'yı,Esra'nın,Esra'ya,Esra'yla
25,f,Hilal,Ayşe,Ayşe'yi,Ayşe'nin,Ayşe'ye,Ayşe'yle
26,f,Berna,Fatma,Fatma'yı,Fatma'nın,Fatma'ya,Fatma'yla
27,f,İlayda,Ece,Ece'yi,Ece'nin,Ece'ye,Ece'yle
28,f,Sena,Elif,Elif'i,Elif'in,Elif'e,Elif'le
29,f,Seda,Gizem,Gizem'i,Gizem'in,Gizem'e,Gizem'le
30,f,İrem,Cansu,Cansu'yu,Cansu'nun,Cansu'ya,Cansu'yla
31,f,Melike,Ayça,Ayça'yı,Ayça'nın,Ayça'ya,Ayça'yla
32,f,Melis,Derya,Derya'yı,Derya'nın,Derya'ya,Derya'yla
33,f,Melisa,Ebrar,Ebrar'ı,Ebrar'ın,Ebrar'a,Ebrar'la
34,f,Özge,Nazlı,Nazlı'yı,Nazlı'nın,Nazlı'ya,Nazlı'yla
35,f,Selin,Simge,Simge'yi,Simge'nin,Simge'ye,Simge'yle
36,f,İdil,Sinem,Sinem'i,Sinem'in,Sinem'e,Sinem'le
37,f,Hande,Nurgül,Nurgül'ü,Nurgül'ün,Nurgül'e,Nurgül'le
38,f,Kübra,Ezgi,Ezgi'yi,Ezgi'nin,Ezgi'ye,Ezgi'yle
39,f,Ebrar,Tuğçe,Tuğçe'yi,Tuğçe'nin,Tuğçe'ye,Tuğçe'yle
40,f,Cemre,Gamze,Gamze'yi,Gamze'nin,Gamze'ye,Gamze'yle
