Item_ID,matrix_verb,context,ground_truth,context_prime,sentence,sentence_type,question,idx,gender,speaker,other_person,correct,model_pred,model_name
T01D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencil bir insandır. NAMENull her zaman diğer insanlardan daha başarılı olmak ister. Yarın çok önemli bir sınavımız var.",speaker,shifted,NAMENull yarınki sınavı kazanmamı istiyor.,nominalized,NAMENull sınavı kimin kazanmasını istiyor?,1,f,İdil,Sinem,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T01C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok yardımsever bir insandır. NAMENull her zaman benim başarımı önemser. Yarın çok önemli bir sınavımız var.",speaker,speaker,NAMENull yarınki sınavı kazanmamı istiyor.,nominalized,NAMENull sınavı kimin kazanmasını istiyor?,1,m,Serkan,Furkan,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T01A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok yardımsever bir insandır. NAMENull her zaman benim başarımı önemser. Yarın çok önemli bir sınavımız var.",speaker,speaker,NAMENull yarınki sınavı kazanayım istiyor.,finite,NAMENull sınavı kimin kazanmasını istiyor?,1,m,Taner,Berk,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T01B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencil bir insandır. NAMENull her zaman diğer insanlardan daha başarılı olmak ister. Yarın çok önemli bir sınavımız var.",shifted,shifted,NAMENull yarınki sınavı kazanayım istiyor.,finite,NAMENull sınavı kimin kazanmasını istiyor?,1,f,Kübra,Ezgi,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T02A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull insanlara gezilecek yerler konusunda öneriler vermeyi çok sever. İstanbul'da benim çok sevebileceğim şeyler olduğunu söyledi.",speaker,speaker,NAMENull İstanbul'a gideyim istiyor.,finite,NAMENull kimin İstanbul'a gitmesini istiyor?,2,f,Seda,Gizem,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T02B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İstanbul ile ilgili belgeseller izlemiş. NAMENull İstanbul'a giderse çok eğlenebileceğini düşünüyor.",shifted,shifted,NAMENull İstanbul'a gideyim istiyor.,finite,NAMENull kimin İstanbul'a gitmesini istiyor?,2,m,Anıl,Mert,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T02C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull insanlara gezilecek yerler konusunda öneriler vermeyi çok sever. İstanbul'da benim çok sevebileceğim şeyler olduğunu söyledi.",speaker,speaker,NAMENull İstanbul'a gitmemi istiyor.,nominalized,NAMENull kimin İstanbul'a gitmesini istiyor?,2,m,Taner,Berk,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T03A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okulunu 4 sene önce bitirdi ve hayatından çok memnun. NAMENull benim de okulu bitirmemin çok iyi olacağını söylüyor.",speaker,speaker,NAMENull okulu bitireyim istiyor.,finite,NAMENull kimin okulu bitirmesini istiyor?,3,f,Sena,Elif,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T03B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 6 yıldır okulunu bitiremiyor ve bu yüzden hayatından hiç memnun değil. NAMENull okulu bitirmesinin çok iyi olacağını söylüyor.",shifted,shifted,NAMENull okulu bitireyim istiyor.,finite,NAMENull kimin okulu bitirmesini istiyor?,3,f,Hilal,Ayşe,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T03C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okulunu 4 sene önce bitirdi ve hayatından çok memnun. NAMENull benim de okulu bitirmemin çok iyi olacağını söylüyor.",speaker,speaker,NAMENull okulu bitirmemi istiyor.,nominalized,NAMENull kimin okulu bitirmesini istiyor?,3,m,Sinan,Yavuz,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T03D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 6 yıldır okulunu bitiremiyor ve bu yüzden hayatından hiç memnun değil. NAMENull okulu bitirmesinin çok iyi olacağını söylüyor.",speaker,shifted,NAMENull okulu bitirmemi istiyor.,nominalized,NAMENull kimin okulu bitirmesini istiyor?,3,f,Melisa,Ebrar,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T04A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir bir şirkette çalışıyor ve hayatından çok memnun. NAMENull benim de bir iş bulmamın çok iyi olacağını söylüyor.",speaker,speaker,NAMENull iş bulayım istiyor.,finite,NAMENull kimin iş bulmasını istiyor?,4,m,Tolga,Emir,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T04B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir işsiz ve hayatından hiç çok memnun değil. NAMENull bir iş bulmasının çok iyi olacağını söylüyor.",shifted,shifted,NAMENull iş bulayım istiyor.,finite,NAMENull kimin iş bulmasını istiyor?,4,f,Müge,Esra,False,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T04D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir işsiz ve hayatından hiç çok memnun değil. NAMENull bir iş bulmasının çok iyi olacağını söylüyor.",speaker,shifted,NAMENull iş bulmamı istiyor.,nominalized,NAMENull kimin iş bulmasını istiyor?,4,f,İrem,Cansu,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T04C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir bir şirkette çalışıyor ve hayatından çok memnun. NAMENull benim de bir iş bulmamın çok iyi olacağını söylüyor.",speaker,speaker,NAMENull iş bulmamı istiyor.,nominalized,NAMENull kimin iş bulmasını istiyor?,4,f,Selin,Simge,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T05C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull evliliğin insanları çok mutlu ettiğini söylüyor. NAMENull bana sürekli evlenmemi öneriyor.",speaker,speaker,NAMENull evlenmemi istiyor.,nominalized,NAMENull kimin evlenmesini istiyor?,5,m,Batuhan,Ömer,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T05B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bekar olmaktan hiç mutlu değil. NAMENull evlenirse çok mutlu bir hayatı olabileceğini düşünüyor.",shifted,shifted,NAMENull evleneyim istiyor.,finite,NAMENull kimin evlenmesini istiyor?,5,f,İrem,Cansu,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T05A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull evliliğin insanları çok mutlu ettiğini söylüyor. NAMENull bana sürekli evlenmemi öneriyor.",speaker,speaker,NAMENull evleneyim istiyor.,finite,NAMENull kimin evlenmesini istiyor?,5,f,Selin,Simge,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T05D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bekar olmaktan hiç mutlu değil. NAMENull evlenirse çok mutlu bir hayatı olabileceğini düşünüyor.",speaker,shifted,NAMENull evlenmemi istiyor.,nominalized,NAMENull kimin evlenmesini istiyor?,5,f,Ebrar,Tuğçe,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T06A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden suşi yemiş ve çok beğenmiş. NAMENull bana da kesinlikle suşinin tadına bakmam gerektiğini söylüyor.",speaker,speaker,NAMENull suşi deneyeyim istiyor.,finite,NAMENull kimin suşi denemesini istiyor?,6,m,Ali,Samet,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T06B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden hiç suşi yememiş. NAMENull suşinin tadını çok merak ediyor.",shifted,shifted,NAMENull suşi deneyeyim istiyor.,finite,NAMENull kimin suşi denemesini istiyor?,6,m,Kenan,Emre,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T06D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden hiç suşi yememiş. NAMENull suşinin tadını çok merak ediyor.",speaker,shifted,NAMENull suşi denememi istiyor.,nominalized,NAMENull kimin suşi denemesini istiyor?,6,f,Hilal,Ayşe,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T06C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden suşi yemiş ve çok beğenmiş. NAMENull bana da kesinlikle suşinin tadına bakmam gerektiğini söylüyor.",speaker,speaker,NAMENull suşi denememi istiyor.,nominalized,NAMENull kimin suşi denemesini istiyor?,6,f,Melisa,Ebrar,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T07A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull benim kendisinden daha iyi bir aday olduğumu düşünüyor ve seçimi kazanmayı benim hakettiğimi söylüyor. NAMENull seçimde beni destekliyor.",speaker,speaker,NAMENull seçimi kazanayım istiyor.,finite,NAMENull seçimi kimin kazanmasını istiyor?,7,m,Burak,Can,True,speaker,Trendyol/Trendyol-LLM-7b-base-v0.1
T07B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull seçimi kazanmayı hak ettiğini düşünüyor ve insanlara sürekli beni kötülüyor.",shifted,shifted,NAMENull seçimi kazanayım istiyor.,finite,NAMENull seçimi kimin kazanmasını istiyor?,7,m,Yusuf,Arif,True,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
T07D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull ve ben okul başkanı olmak için seçime girdik. NAMENull seçimi kazanmayı hak ettiğini düşünüyor ve insanlara sürekli beni kötülüyor.",speaker,shifted,NAMENull seçimi kazanmamı istiyor.,nominalized,NAMENull seçimi kimin kazanmasını istiyor?,7,f,Selin,Simge,False,shifted,Trendyol/Trendyol-LLM-7b-base-v0.1
