,Item_ID,matrix_verb,context,ground_truth,context_prime,sentence,sentence_type,question
1,T01A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok yardımsever bir insandır. NAMENull her zaman benim başarımı önemser. Yarın çok önemli bir sınavımız var.",speaker,speaker,NAMENull yarınki sınavı kazanayım istiyor.,finite,NAMENull sınavı kimin kazanmasını istiyor?
1,T01B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencil bir insandır. NAMENull her zaman diğer insanlardan daha başarılı olmak ister. Yarın çok önemli bir sınavımız var.",shifted,shifted,NAMENull yarınki sınavı kazanayım istiyor.,finite,NAMENull sınavı kimin kazanmasını istiyor?
1,T01C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok yardımsever bir insandır. NAMENull her zaman benim başarımı önemser. Yarın çok önemli bir sınavımız var.",speaker,speaker,NAMENull yarınki sınavı kazanmamı istiyor.,nominalized,NAMENull sınavı kimin kazanmasını istiyor?
1,T01D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull çok bencil bir insandır. NAMENull her zaman diğer insanlardan daha başarılı olmak ister. Yarın çok önemli bir sınavımız var.",speaker,shifted,NAMENull yarınki sınavı kazanmamı istiyor.,nominalized,NAMENull sınavı kimin kazanmasını istiyor?
2,T02A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull insanlara gezilecek yerler konusunda öneriler vermeyi çok sever. İstanbul'da benim çok sevebileceğim şeyler olduğunu söyledi.",speaker,speaker,NAMENull İstanbul'a gideyim istiyor.,finite,NAMENull kimin İstanbul'a gitmesini istiyor?
2,T02B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İstanbul ile ilgili belgeseller izlemiş. NAMENull İstanbul'a giderse çok eğlenebileceğini düşünüyor.",shifted,shifted,NAMENull İstanbul'a gideyim istiyor.,finite,NAMENull kimin İstanbul'a gitmesini istiyor?
2,T02C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull insanlara gezilecek yerler konusunda öneriler vermeyi çok sever. İstanbul'da benim çok sevebileceğim şeyler olduğunu söyledi.",speaker,speaker,NAMENull İstanbul'a gitmemi istiyor.,nominalized,NAMENull kimin İstanbul'a gitmesini istiyor?
2,T02D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull İstanbul ile ilgili belgeseller izlemiş. NAMENull İstanbul'a giderse çok eğlenebileceğini düşünüyor.",speaker,shifted,NAMENull İstanbul'a gitmemi istiyor.,nominalized,NAMENull kimin İstanbul'a gitmesini istiyor?
3,T03A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okulunu 4 sene önce bitirdi ve hayatından çok memnun. NAMENull benim de okulu bitirmemin çok iyi olacağını söylüyor.",speaker,speaker,NAMENull okulu bitireyim istiyor.,finite,NAMENull kimin okulu bitirmesini istiyor?
3,T03B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 6 yıldır okulunu bitiremiyor ve bu yüzden hayatından hiç memnun değil. NAMENull okulu bitirmesinin çok iyi olacağını söylüyor.",shifted,shifted,NAMENull okulu bitireyim istiyor.,finite,NAMENull kimin okulu bitirmesini istiyor?
3,T03C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull okulunu 4 sene önce bitirdi ve hayatından çok memnun. NAMENull benim de okulu bitirmemin çok iyi olacağını söylüyor.",speaker,speaker,NAMENull okulu bitirmemi istiyor.,nominalized,NAMENull kimin okulu bitirmesini istiyor?
3,T03D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 6 yıldır okulunu bitiremiyor ve bu yüzden hayatından hiç memnun değil. NAMENull okulu bitirmesinin çok iyi olacağını söylüyor.",speaker,shifted,NAMENull okulu bitirmemi istiyor.,nominalized,NAMENull kimin okulu bitirmesini istiyor?
4,T04A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir bir şirkette çalışıyor ve hayatından çok memnun. NAMENull benim de bir iş bulmamın çok iyi olacağını söylüyor.",speaker,speaker,NAMENull iş bulayım istiyor.,finite,NAMENull kimin iş bulmasını istiyor?
4,T04B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir işsiz ve hayatından hiç çok memnun değil. NAMENull bir iş bulmasının çok iyi olacağını söylüyor.",shifted,shifted,NAMENull iş bulayım istiyor.,finite,NAMENull kimin iş bulmasını istiyor?
4,T04C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir bir şirkette çalışıyor ve hayatından çok memnun. NAMENull benim de bir iş bulmamın çok iyi olacağını söylüyor.",speaker,speaker,NAMENull iş bulmamı istiyor.,nominalized,NAMENull kimin iş bulmasını istiyor?
4,T04D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull 3 senedir işsiz ve hayatından hiç çok memnun değil. NAMENull bir iş bulmasının çok iyi olacağını söylüyor.",speaker,shifted,NAMENull iş bulmamı istiyor.,nominalized,NAMENull kimin iş bulmasını istiyor?
5,T05A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull evliliğin insanları çok mutlu ettiğini söylüyor. NAMENull bana sürekli evlenmemi öneriyor.",speaker,speaker,NAMENull evleneyim istiyor.,finite,NAMENull kimin evlenmesini istiyor?
5,T05B,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bekar olmaktan hiç mutlu değil. NAMENull evlenirse çok mutlu bir hayatı olabileceğini düşünüyor.",shifted,shifted,NAMENull evleneyim istiyor.,finite,NAMENull kimin evlenmesini istiyor?
5,T05C,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull evliliğin insanları çok mutlu ettiğini söylüyor. NAMENull bana sürekli evlenmemi öneriyor.",speaker,speaker,NAMENull evlenmemi istiyor.,nominalized,NAMENull kimin evlenmesini istiyor?
5,T05D,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull bekar olmaktan hiç mutlu değil. NAMENull evlenirse çok mutlu bir hayatı olabileceğini düşünüyor.",speaker,shifted,NAMENull evlenmemi istiyor.,nominalized,NAMENull kimin evlenmesini istiyor?
6,T06A,iste,"Merhaba, ben SPEAKER. Ankara'da yaşayan bir öğrenciyim. NAMENull diye bir arkadaşım var. NAMENull daha önceden suşi yemiş ve çok beğenmiş. NAMENull bana da kesinlikle suşinin tadına bakmam gerektiğini söylüyor.",speaker,speaker,NAMENull suşi deneyeyim istiyor.,finite,NAMENull kimin suşi denemesini istiyor?
